TrainingStep,AvgEpisodeSteps,AvgEpisodeReward
1,17.5,17.5
2,28.5,28.5
3,27.4,27.4
4,18.8,18.8
5,20.6,20.6
6,21.1,21.1
7,25.7,25.7
8,89.4,89.4
9,75.9,75.9
10,84.2,84.2
11,88.4,88.4
12,82.1,82.1
13,78.2,78.2
14,79.4,79.4
15,88.9,88.9
16,110.0,110.0
17,114.1,114.1
18,112.7,112.7
19,116.7,116.7
20,123.9,123.9
21,131.7,131.7
22,129.6,129.6
23,138.0,138.0
24,142.2,142.2
25,145.7,145.7
26,138.0,138.0
27,147.7,147.7
28,143.6,143.6
29,133.1,133.1
30,136.9,136.9
31,138.1,138.1
32,134.4,134.4
33,132.0,132.0
34,136.3,136.3
35,133.0,133.0
36,129.6,129.6
37,144.3,144.3
38,129.1,129.1
39,136.8,136.8
40,149.9,149.9
41,126.0,126.0
42,135.6,135.6
43,146.9,146.9
44,144.5,144.5
45,143.0,143.0
46,149.9,149.9
47,171.7,171.7
48,159.9,159.9
49,142.0,142.0
50,141.0,141.0
51,153.1,153.1
52,144.5,144.5
53,154.4,154.4
54,171.9,171.9
55,180.5,180.5
56,164.9,164.9
57,169.6,169.6
58,198.1,198.1
59,154.8,154.8
60,154.0,154.0
61,160.7,160.7
62,170.9,170.9
63,161.7,161.7
64,179.6,179.6
65,163.7,163.7
66,148.3,148.3
67,114.5,114.5
68,153.8,153.8
69,160.1,160.1
70,146.1,146.1
71,143.4,143.4
72,125.2,125.2
73,157.6,157.6
74,151.2,151.2
75,147.6,147.6
76,143.3,143.3
77,136.8,136.8
78,171.1,171.1
79,145.7,145.7
80,132.7,132.7
81,171.4,171.4
82,147.8,147.8
83,150.9,150.9
84,152.6,152.6
85,158.8,158.8
86,148.1,148.1
87,165.9,165.9
88,156.5,156.5
89,157.3,157.3
90,140.3,140.3
91,141.5,141.5
92,167.7,167.7
93,142.6,142.6
94,146.1,146.1
95,158.8,158.8
96,124.4,124.4
97,132.9,132.9
98,151.0,151.0
99,137.1,137.1
100,154.9,154.9
101,167.5,167.5
102,163.6,163.6
103,147.8,147.8
104,139.6,139.6
105,163.0,163.0
106,148.6,148.6
107,150.6,150.6
108,154.8,154.8
109,175.1,175.1
110,178.0,178.0
111,159.6,159.6
112,190.6,190.6
113,191.8,191.8
114,174.1,174.1
115,170.1,170.1
116,156.4,156.4
117,130.4,130.4
118,156.1,156.1
119,171.5,171.5
120,177.6,177.6
121,171.2,171.2
122,151.9,151.9
123,189.2,189.2
124,170.4,170.4
125,141.1,141.1
126,141.2,141.2
127,173.3,173.3
128,171.9,171.9
129,182.4,182.4
130,160.6,160.6
131,181.7,181.7
132,177.9,177.9
133,200.7,200.7
134,190.8,190.8
135,170.0,170.0
136,187.5,187.5
137,149.4,149.4
138,169.1,169.1
139,193.0,193.0
140,171.5,171.5
141,171.4,171.4
142,164.9,164.9
143,177.5,177.5
144,150.1,150.1
145,181.9,181.9
146,162.9,162.9
147,199.8,199.8
148,161.6,161.6
149,186.3,186.3
150,162.5,162.5
151,151.1,151.1
152,164.2,164.2
153,179.1,179.1
154,170.8,170.8
155,177.5,177.5
156,154.0,154.0
157,190.2,190.2
158,178.5,178.5
159,164.3,164.3
160,163.2,163.2
161,175.6,175.6
162,147.6,147.6
163,172.5,172.5
164,194.5,194.5
165,165.6,165.6
166,179.6,179.6
167,192.4,192.4
168,168.1,168.1
169,168.9,168.9
170,188.5,188.5
171,187.5,187.5
172,146.5,146.5
173,170.2,170.2
174,173.7,173.7
175,175.9,175.9
176,190.6,190.6
177,158.7,158.7
178,175.6,175.6
179,158.8,158.8
180,136.4,136.4
181,175.5,175.5
182,190.0,190.0
183,150.6,150.6
184,147.3,147.3
185,172.2,172.2
186,201.6,201.6
187,179.1,179.1
188,178.5,178.5
189,162.6,162.6
190,136.4,136.4
191,207.2,207.2
192,164.0,164.0
193,131.1,131.1
194,121.1,121.1
195,184.2,184.2
196,165.2,165.2
197,187.3,187.3
198,160.2,160.2
199,189.0,189.0
200,177.8,177.8
